@relation control_asistencia_monngo.asistencias-weka.filters.unsupervised.attribute.Remove-R1-weka.filters.unsupervised.attribute.Remove-R3-weka.filters.unsupervised.attribute.Remove-R5

@attribute nombre {'Jorge Morales','Rafael Ortiz','Claudia Reyes','Mario Salazar','Diego Campos','Luis Silva','Laura Sanchez','Juan Pena','Sofia Herrera','Sara Villalba','Felipe Mendoza','Tomas Gallardo','Hector Gutierrez','Diana Moreno','Gabriel Romero','Elena Vargas','Lucia Medina','Monica Cabrera','Jose Lopez','Paula Fernandez','Carlos Diaz','Ana Torres','Miguel Castro','Daniela Pardo','Camila Navarro','Isabel Fuentes','Pedro Gomez','Andrea Rios','Valeria Soto','Pablo Torres'}
@attribute clase {Matematicas-A,Quimica-C,Historia-B}
@attribute dia_semana {martes,viernes,lunes,miercoles,jueves}
@attribute hora {'10:15 a. m.','11:30 a. m.','10:00 a. m.','02:45 a. m.','10:15 p. m.','09:15 p. m.','07:00 p. m.','08:45 a. m.','06:15 a. m.','06:00 p. m.','01:15 a. m.','02:00 p. m.','06:45 p. m.','04:30 a. m.','04:45 p. m.','11:45 p. m.','09:00 a. m.','11:15 a. m.','08:00 a. m.','06:30 a. m.','02:30 a. m.','11:30 p. m.','05:15 p. m.','04:30 p. m.','01:00 a. m.','05:30 a. m.','02:00 a. m.','04:15 p. m.','10:30 a. m.','01:15 p. m.','09:00 p. m.','02:15 p. m.','10:30 p. m.','03:00 a. m.','12:30 a. m.','10:00 p. m.','11:00 a. m.','09:30 p. m.','03:00 p. m.','01:30 p. m.','03:45 a. m.','07:45 p. m.','05:45 a. m.','03:45 p. m.','05:15 a. m.','03:15 p. m.','08:15 p. m.','10:45 a. m.','12:00 a. m.','07:30 p. m.','07:15 p. m.','09:30 a. m.','04:45 a. m.','09:15 a. m.','07:15 a. m.','03:30 p. m.','05:00 p. m.','01:45 a. m.','08:00 p. m.','03:15 a. m.','07:30 a. m.','12:00 p. m.','04:00 p. m.','07:45 a. m.','09:45 a. m.','12:45 a. m.','04:15 a. m.','12:45 p. m.','08:15 a. m.','12:15 a. m.','08:30 p. m.','04:00 a. m.','11:45 a. m.','05:45 p. m.','01:45 p. m.','02:30 p. m.','06:45 a. m.','08:45 p. m.','08:30 a. m.','10:45 p. m.','05:30 p. m.','06:15 p. m.','12:15 p. m.','02:45 p. m.','05:00 a. m.','01:00 p. m.','11:15 p. m.','11:00 p. m.','01:30 a. m.','06:30 p. m.','03:30 a. m.','06:00 a. m.','07:00 a. m.','02:15 a. m.','09:45 p. m.','12:30 p. m.'}
@attribute mes {febrero,enero,abril,marzo,diciembre,mayo,julio,octubre,septiembre,noviembre,junio,agosto}
@attribute estado {Ausente,Presente,Tarde}

@data
'Jorge Morales',Matematicas-A,martes,'10:15 a. m.',febrero,Ausente
'Rafael Ortiz',Quimica-C,viernes,'11:30 a. m.',enero,Ausente
'Claudia Reyes',Historia-B,martes,'10:00 a. m.',abril,Ausente
'Mario Salazar',Matematicas-A,viernes,'02:45 a. m.',febrero,Presente
'Diego Campos',Quimica-C,viernes,'02:45 a. m.',marzo,Presente
'Luis Silva',Quimica-C,lunes,'10:15 p. m.',abril,Presente
'Laura Sanchez',Quimica-C,martes,'09:15 p. m.',diciembre,Presente
'Juan Pena',Matematicas-A,viernes,'07:00 p. m.',mayo,Presente
'Juan Pena',Historia-B,viernes,'08:45 a. m.',enero,Presente
'Sofia Herrera',Matematicas-A,viernes,'06:15 a. m.',julio,Presente
'Sara Villalba',Quimica-C,viernes,'06:00 p. m.',febrero,Presente
'Felipe Mendoza',Historia-B,martes,'01:15 a. m.',julio,Presente
'Tomas Gallardo',Matematicas-A,lunes,'02:00 p. m.',diciembre,Presente
'Hector Gutierrez',Quimica-C,miercoles,'06:45 p. m.',octubre,Presente
'Diana Moreno',Matematicas-A,lunes,'04:30 a. m.',septiembre,Presente
'Diego Campos',Historia-B,jueves,'04:45 p. m.',marzo,Presente
'Rafael Ortiz',Historia-B,martes,'11:45 p. m.',octubre,Ausente
'Gabriel Romero',Matematicas-A,martes,'11:30 a. m.',febrero,Ausente
'Elena Vargas',Quimica-C,jueves,'10:00 a. m.',marzo,Presente
'Lucia Medina',Historia-B,jueves,'09:00 a. m.',septiembre,Presente
'Monica Cabrera',Historia-B,jueves,'11:15 a. m.',noviembre,Ausente
'Jose Lopez',Quimica-C,viernes,'08:00 a. m.',abril,Presente
'Monica Cabrera',Historia-B,jueves,'06:30 a. m.',noviembre,Presente
'Jorge Morales',Matematicas-A,lunes,'10:00 a. m.',junio,Ausente
'Mario Salazar',Matematicas-A,martes,'02:30 a. m.',septiembre,Presente
'Paula Fernandez',Matematicas-A,miercoles,'11:30 p. m.',marzo,Ausente
'Carlos Diaz',Quimica-C,lunes,'05:15 p. m.',noviembre,Presente
'Paula Fernandez',Quimica-C,martes,'04:30 p. m.',agosto,Presente
'Laura Sanchez',Historia-B,lunes,'01:00 a. m.',septiembre,Presente
'Lucia Medina',Quimica-C,miercoles,'05:30 a. m.',agosto,Presente
'Mario Salazar',Quimica-C,jueves,'02:00 a. m.',julio,Presente
'Paula Fernandez',Matematicas-A,viernes,'04:15 p. m.',diciembre,Presente
'Ana Torres',Quimica-C,lunes,'10:30 a. m.',marzo,Presente
'Miguel Castro',Historia-B,lunes,'01:15 p. m.',diciembre,Presente
'Felipe Mendoza',Matematicas-A,miercoles,'11:30 p. m.',enero,Ausente
